"SiteCode","S","Sprey","Spred","L","D","C","G","sG","V","sV","Cc","nCc","Bc","nBc","NODF2","weighted_NODF","Qb","norm_Qb","nb_of_modules","Qn"
"CS86",98,62,36,561,5.7245,0.2513,14.5833,9.4548,8.4677,8.6531,0.00432863625614342,0.419877716845912,68.9489795918367,0.0322946040242795,60.1428496415258,33.9007948388466,0.339998579413113,0.503846410553253,3,0.226851700680272
"CS88",98,59,39,599,6.1122,0.2603,14.359,10.1657,9.4915,8.1587,0.00441449409445887,0.428205927162511,66.5102040816327,0.0301770435942072,60.7695449931677,34.8768655160152,0.372275333588558,0.480025652605302,5,0.255593112244898
"CS89",109,64,45,776,7.1193,0.2694,16.2444,12.2774,11.4219,10.2737,0.00416061401812873,0.449346313957903,67.4862385321101,0.0243456848961436,73.8055366889697,41.4620305080774,0.347197137982745,0.519238685851979,3,0.23729276650055
"CS9",106,64,42,655,6.1792,0.2437,14.5952,13.2978,9.5781,8.332,0.00421404638449319,0.442474870371785,67.6320754716981,0.0261835367679822,71.3654612117964,41.7015920223247,0.358342397726897,0.476825409900998,4,0.255239256032296
"CS93",125,64,61,1162,9.296,0.2976,18.0492,15.0349,17.2031,12.2477,0.00364333897664692,0.451774033104218,77.12,0.0204021164021164,71.6491309336514,34.3920453550427,0.380185651728659,0.497958040041321,5,0.241137402130505
"CS97",102,63,39,668,6.549,0.2719,16.1282,11.8814,9.9841,8.65,0.00434132967578049,0.438474297253829,66.4117647058823,0.0281883551383202,64.994847834286,39.0585125894708,0.396408680266457,0.524881725173262,5,0.22926087033447
"CS99",105,63,42,749,7.1333,0.2831,16.8333,12.8308,11.2222,8.9342,0.00428556991624787,0.445699271289778,66.2666666666667,0.0260687123000262,67.7155713475507,39.5215908953208,0.434372868284719,0.58455892493088,4,0.218353942890753
"ETP1",84,63,21,423,5.0357,0.3197,19.1429,17.1706,6.381,4.3716,0.0055778626843585,0.462962602801755,49.7261904761905,0.0401017665130568,79.4874557405277,50.4739814993909,0.263416211157905,0.364335556121774,5,0.238669834905076
"ETP100",97,64,33,633,6.5258,0.2997,18.1818,18.8671,9.375,5.7418,0.00477515678924087,0.458415051767124,58.7628865979381,0.0291482572410407,81.7679077322641,50.6658395327779,0.28815713889565,0.524202811558706,3,0.235472222222222
"ETP101",87,63,24,452,5.1954,0.2989,17.8333,17.2164,6.7937,4.8665,0.00534863583384616,0.45998268171077,52.1034482758621,0.0365381825216424,81.478767521673,52.1464696293326,0.391883878681209,0.571933826576389,5,0.235189754563717
"ETP102",93,64,29,587,6.3118,0.3163,19.2414,19.7424,8.7188,5.1315,0.00505547456939365,0.465103660384216,54.9032258064516,0.0311242776680565,82.6476997301632,49.6073950008851,0.41919469527978,0.542860672652159,5,0.228998856643671
"ETP103",92,64,28,542,5.8913,0.3025,18.3571,19.8181,8.0312,4.8631,0.00507991196744766,0.462271989037737,54.9782608695652,0.0323211410167932,81.6122131039677,50.0561459748671,0.47927598212436,0.64741136399399,4,0.235347999212706
