"family","genus","species","size","temperature","Ic_median","In_median","Ip_median"
"Pomacentridae","Abudefduf","Abudefduf_troschelii",8,27,0.129091391995126,0.0228312221832724,0.0029890425622241
"Pomacentridae","Abudefduf","Abudefduf_troschelii",8,28,0.135196016908684,0.0240883011771595,0.00323600043373765
"Pomacentridae","Abudefduf","Abudefduf_troschelii",8,29,0.127210010455518,0.0223557062662271,0.0030608668051207
"Pomacentridae","Abudefduf","Abudefduf_troschelii",10,20,0.146148558772066,0.0264322352374637,0.00343191181518029
"Pomacentridae","Abudefduf","Abudefduf_troschelii",10,21,0.151594823392823,0.0271640958345128,0.00360828556211761
"Pomacentridae","Abudefduf","Abudefduf_troschelii",10,24,0.171227621384395,0.0311410406091482,0.00408563455274595
"Pomacentridae","Abudefduf","Abudefduf_troschelii",10,27,0.193781510762349,0.0357389373262296,0.00453299950069253
"Pomacentridae","Abudefduf","Abudefduf_troschelii",10,28,0.18783139338942,0.0333154943395614,0.00439734615888623
"Pomacentridae","Abudefduf","Abudefduf_troschelii",10,29,0.213874434423873,0.039253953168316,0.00500680024287741
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,20,0.251527809504144,0.043852889445907,0.00570034182488828
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,21,0.244238410447352,0.0425545949187517,0.00566615725679349
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,22,0.239585139200612,0.0431398795671805,0.00558531574364473
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,23,0.272209986943637,0.0486530521566476,0.0063460141780047
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,24,0.24371515850409,0.0431987897483926,0.0057249800926136
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,27,0.259122712612387,0.0464617743328814,0.00620865436712799
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,28,0.256702031580713,0.0461546441233,0.00600434706558765
"Pomacentridae","Abudefduf","Abudefduf_troschelii",12,29,0.285820442453539,0.0518609790689951,0.00654943169883041
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,20,0.390565955057457,0.0730531316641444,0.00959832588373608
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,21,0.410898181700864,0.0733236944411852,0.00943388406326752
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,22,0.444128508060575,0.0784172606387355,0.0104594246344506
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,23,0.415066888422018,0.074994726560191,0.0101414114559131
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,24,0.415118045638748,0.0740455940352419,0.00959878126984757
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,26,0.428141982419575,0.0742390298157802,0.00962137642711365
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,27,0.406348161905798,0.0738026648403128,0.0095094959992973
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,28,0.477679005118907,0.0862473814705651,0.0107696708551773
"Pomacentridae","Abudefduf","Abudefduf_troschelii",15,29,0.47980171160869,0.0869273897482591,0.0114061272502247
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,19,0.0523141721130128,0.0093055490141666,0.00118780854849244
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,20,0.0562957055787231,0.0100545825152115,0.00125528957092868
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,22,0.0544381165407938,0.00993067404574463,0.00127981100264679
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,23,0.0591195664696731,0.0107013944292478,0.00138560439256244
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,24,0.0607925821161242,0.0109852417492243,0.00134484123168957
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,25,0.0663771691203127,0.0117489556731024,0.00149474591151194
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,26,0.0615125321936693,0.0111849563491793,0.00140312631149312
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,27,0.064324728805326,0.0117176057615277,0.00154892057745462
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,28,0.070832299361362,0.0131565580014335,0.00166330965419243
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,29,0.0750180959304285,0.0135682077696389,0.00169914891325153
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",5,30,0.0787766455930398,0.0138950621577796,0.00177232774222217
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,20,0.12336067669911,0.0222507651295712,0.00300340347078959
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,22,0.140467510830174,0.0251521345288752,0.00320879293322427
"Pomacentridae","Abudefduf","Abudefduf_vaigiensis",8,23,0.135694447979471,0.0241378054838334,0.00320817500496737
